fecha,titulo,autor,categoria,enlace
2023-03-07,Incierto el panorama para pacientes y proveedores si se concreta el recorte en Medicare Advantage,Maricarmen Rivera Sánchez,Consumo,https://www.elnuevodia.com/negocios/consumo/notas/incierto-el-panorama-para-pacientes-y-proveedores-si-se-concreta-el-recorte-en-medicare-advantage/
2023-03-07,Justicia federal demanda para impedir que JetBlue compre a Spirit,The Associated Press,Empresas-Comercios,https://www.elnuevodia.com/negocios/empresas-comercios/notas/justicia-federal-demanda-para-impedir-que-jetblue-compre-a-spirit/
2023-03-07,Futuro operador de los muelles de cruceros solicita permisos del gobierno federal para mejoras a la infraestructura,ELNUEVODIA.COM,Empresas-Comercios,https://www.elnuevodia.com/negocios/empresas-comercios/notas/futuro-operador-de-los-muelles-de-cruceros-solicita-permisos-del-gobierno-federal-para-mejoras-a-la-infraestructura/
2023-03-07,Conoce las nuevas marcas que llegarán a The Mall of San Juan,Marian Díaz,Empresas-Comercios,https://www.elnuevodia.com/negocios/empresas-comercios/notas/conoce-las-nuevas-marcas-que-llegaran-a-the-mall-of-san-juan/
2023-03-07,La Fed podría subir más las tasas si la economía sigue agitada,The Associated Press,Economia,https://www.elnuevodia.com/negocios/economia/notas/la-fed-podria-subir-mas-las-tasas-si-la-economia-sigue-agitada/
2023-03-07,Vuelven a radicar el proyecto de reforma laboral,Marian Díaz,Economia,https://www.elnuevodia.com/negocios/economia/notas/vuelven-a-radicar-el-proyecto-de-reforma-laboral/
2023-03-07,Patronos pedirán el bono de Navidad pagado a empleados ,Marian Díaz,Economia,https://www.elnuevodia.com/negocios/economia/notas/patronos-pediran-el-bono-de-navidad-pagado-a-empleados/
2023-03-07,Autoridades turísticas predicen un aumento de turistas en el Caribe durante el 2023,Agencia EFE,Turismo,https://www.elnuevodia.com/negocios/turismo/notas/autoridades-turisticas-predicen-un-aumento-de-turistas-en-el-caribe-durante-el-2023/
2023-03-07,Empresarios señalan al costo energético como el principal escollo de los negocios en Puerto Rico,Marian Díaz,Economia,https://www.elnuevodia.com/negocios/economia/notas/empresarios-senalan-al-costo-energetico-como-el-principal-escollo-de-los-negocios-en-puerto-rico/
2023-03-06,Inquietud por cambios en planes Advantage,Joanisabel González,Banca-Finanzas,https://www.elnuevodia.com/negocios/banca-finanzas/notas/inquietud-por-cambios-en-planes-advantage/
2023-03-06,El chocolate Toblerone se ve obligado a cambiar su logotipo debido a una prohibición,Agencia EFE,Empresas-Comercios,https://www.elnuevodia.com/negocios/empresas-comercios/notas/el-chocolate-toblerone-se-ve-obligado-a-cambiar-su-logotipo-debido-a-una-prohibicion/
2023-03-06,Cambio en el alto mando de Plaza Provision,Marian Díaz,Empresas-Comercios,https://www.elnuevodia.com/negocios/empresas-comercios/notas/cambio-en-el-alto-mando-de-plaza-provision/
2023-03-06,Javier Bayón Torres renuncia a su puesto como director ejecutivo de Fomento Industrial,José Orlando Delgado Rivera,Economia,https://www.elnuevodia.com/negocios/economia/notas/javier-bayon-torres-renuncia-a-su-puesto-como-director-ejecutivo-de-fomento-industrial/
2023-03-06,Letra muerta la ley de igual paga igual trabajo,Maricarmen Rivera Sánchez,Economia,https://www.elnuevodia.com/negocios/economia/notas/letra-muerta-la-ley-de-igual-paga-igual-trabajo/
2023-03-06,"Así es la planta Cytoimmune Therapeutics, donde se estudian y crean terapias contra el cáncer",Sharon Minelli Pérez,Empresas-Comercios,https://www.elnuevodia.com/negocios/empresas-comercios/notas/visita-a-la-planta-cytoimmune-therapeutics-donde-se-estudian-y-crean-terapias-contra-el-cancer/
2023-03-06,¿Qué pasó con la investigación sobre la fusión entre Puerto Rico Terminals y Luis Ayala Colón?,Marian Díaz,Empresas-Comercios,https://www.elnuevodia.com/negocios/empresas-comercios/notas/que-paso-con-la-investigacion-sobre-la-fusion-entre-puerto-rico-terminals-y-luis-ayala-colon/
2023-03-06,DACO fiscalizará sitios de venta directa en internet,ELNUEVODIA.COM,Consumo,https://www.elnuevodia.com/negocios/consumo/notas/daco-fiscalizara-sitios-de-venta-directa-en-internet/
2023-03-05,Oficios que se niegan a desaparecer,Maricarmen Rivera Sánchez,Empresas-Comercios,https://www.elnuevodia.com/negocios/empresas-comercios/notas/oficios-que-se-niegan-a-desaparecer/
2023-03-04,Estudiantes de Holberton Coding School dan rienda suelta a su pasión por la programación y la tecnología,José Ayala Gordián,Empresas-Comercios,https://www.elnuevodia.com/negocios/empresas-comercios/notas/estudiantes-de-holberton-coding-school-dan-rienda-suelta-a-su-pasion-por-la-programacion-y-la-tecnologia/
2023-03-04,¿Cómo funciona el sistema de reservas de El Yunque?,José Orlando Delgado Rivera,Turismo,https://www.elnuevodia.com/negocios/turismo/notas/como-funciona-el-sistema-de-reservas-de-el-yunque/
2023-03-04,Aerolínea dominicana de bajo costo solicita permiso para viajar a San Juan,José Orlando Delgado Rivera,Turismo,https://www.elnuevodia.com/negocios/turismo/notas/aerolinea-dominicana-de-bajo-costo-solicita-permiso-para-viajar-a-san-juan/
2023-03-04,"Bad Bunny no siempre está en la lista de famosos de Puerto Rico, según ChatGPT ",Sharon Minelli Pérez,Empresas-Comercios,https://www.elnuevodia.com/negocios/empresas-comercios/notas/bad-bunny-no-siempre-esta-en-la-lista-de-famosos-de-puerto-rico-segun-chatgpt/
2023-03-03,Venden parcela del Distrito de Convenciones para vivienda de lujo,José Orlando Delgado Rivera,Economia,https://www.elnuevodia.com/negocios/economia/notas/distrito-de-convenciones-vende-parcela-por-6-millones-para-la-construccion-de-un-condominio-de-lujo/
2023-03-03,La jueza Laura Taylor Swain anula la reforma laboral,Marian Díaz,Economia,https://www.elnuevodia.com/negocios/economia/notas/la-jueza-laura-taylor-swain-anula-la-reforma-laboral/
2023-03-02,Menos patronos pueden pagar un plan médico a sus empleados ,Marian Díaz,Banca-Finanzas,https://www.elnuevodia.com/negocios/banca-finanzas/notas/menos-patronos-pueden-pagar-un-plan-medico-a-sus-empleados/
2023-03-02,Claman por la regulación de los alquileres a corto plazo en las zonas residenciales,José Orlando Delgado Rivera,Turismo,https://www.elnuevodia.com/negocios/turismo/notas/claman-por-la-regulacion-de-los-alquileres-a-corto-plazo-en-las-zonas-residenciales/
2023-03-02,Junta Fiscal pide ajustes al presupuesto de ASES,Maricarmen Rivera Sánchez,Economia,https://www.elnuevodia.com/negocios/economia/notas/junta-fiscal-pide-ajustes-al-presupuesto-de-ases/
2023-03-02,Discover Puerto Rico destaca en la lista de las empresas más innovadoras,ELNUEVODIA.COM,Turismo,https://www.elnuevodia.com/negocios/turismo/notas/discover-puerto-rico-destaca-en-la-lista-de-las-empresas-mas-innovadoras/
2023-03-02,Suben los precios  y baja la compraventa  de viviendas en 2022,Sharon Minelli Pérez,Bienes-Raices,https://www.elnuevodia.com/negocios/bienes-raices/notas/suben-los-precios-y-baja-la-compraventa-de-viviendas-en-2022/
2023-03-02,3 documentos importantes al llenar la planilla: ¿dónde los consigo?,No autor,Economia,https://www.elnuevodia.com/negocios/economia/videos/3-documentos-importantes-al-llenar-la-planilla-donde-los-consigo-281342/
2023-03-01,Crece la manufactura china en el mes de febrero,Agencia EFE,Economia,https://www.elnuevodia.com/negocios/economia/notas/crece-la-manufactura-china-en-el-mes-de-febrero/
2023-03-01,Ciudadanos relatan “invasión” de alquileres a corto plazo,José Orlando Delgado Rivera,Turismo,https://www.elnuevodia.com/negocios/turismo/notas/relatan-invasion-de-alquileres-a-corto-plazo/
2023-03-01,Puerto Rico Open: un montaje de $2 millones a cargo de manos locales,Sharon Minelli Pérez,Turismo,https://www.elnuevodia.com/negocios/turismo/notas/puerto-rico-open-un-montaje-de-2-millones-a-cargo-de-manos-locales/
2023-03-01,"Junte Boricua busca atraer 50,000 viajeros de la diáspora en 2024",José Orlando Delgado Rivera,Turismo,https://www.elnuevodia.com/negocios/turismo/notas/junte-boricua-busca-atraer-50000-viajeros-de-la-diaspora-en-2024/
2023-02-28,Puerto Rico llega hoy al popular programa de televisión Jeopardy,ELNUEVODIA.COM,Turismo,https://www.elnuevodia.com/negocios/turismo/notas/puerto-rico-llega-hoy-al-popular-programa-de-television-jeopardy/
2023-02-28,Junte Boricua: “Va a ser una celebración de los de aquí y los de allá”,No autor,Turismo,https://www.elnuevodia.com/negocios/turismo/videos/junte-boricua-va-a-ser-una-celebracion-de-los-de-aqui-y-los-de-alla-281336/
2023-02-27,El hotel La Concha se convierte en el primer Autograph Collection Resort en Puerto Rico,José Orlando Delgado Rivera,Turismo,https://www.elnuevodia.com/negocios/turismo/notas/el-hotel-la-concha-se-convierte-en-el-primer-autograph-collection-resort-en-puerto-rico/
2023-02-27,Pocas garras contra los crímenes financieros en la isla,Maricarmen Rivera Sánchez,Banca-Finanzas,https://www.elnuevodia.com/negocios/banca-finanzas/notas/pocas-garras-contra-los-crimenes-financieros-en-la-isla/
2023-02-26,Así reparan los derrumbes en El Yunque,No autor,Turismo,https://www.elnuevodia.com/negocios/turismo/videos/asi-reparan-los-derrumbes-en-el-yunque-281281/
2023-02-26,Descartado el cierre del Banco de Desarrollo Económico,Marian Díaz,Banca-Finanzas,https://www.elnuevodia.com/negocios/banca-finanzas/notas/en-el-olvido-la-amenaza-de-cierre-del-banco-de-desarrollo-economico/
2023-02-25,Lo bueno y no tan bueno de los pagos automáticos,Sharon Minelli Pérez,Banca-Finanzas,https://www.elnuevodia.com/negocios/banca-finanzas/notas/lo-bueno-y-no-tan-bueno-de-los-pagos-automaticos/
2023-02-25,La “estafa amorosa”: conoce las señales de alerta,Maricarmen Rivera Sánchez,Banca-Finanzas,https://www.elnuevodia.com/negocios/banca-finanzas/notas/el-timo-del-amor-conoce-las-senales-de-alerta/
2023-02-24,A frenar el lavado de dinero en la isla,Maricarmen Rivera Sánchez,Banca-Finanzas,https://www.elnuevodia.com/negocios/banca-finanzas/notas/llaman-a-frenar-el-lavado-de-dinero-en-la-isla/
2023-02-24,Cobra fuerza la “estafa romántica” en Puerto Rico,Maricarmen Rivera Sánchez,Banca-Finanzas,https://www.elnuevodia.com/negocios/banca-finanzas/notas/cobra-fuerza-la-estafa-romantica-en-puerto-rico/
2023-02-23,Buscan operador privado para un puerto espacial en Roosevelt Roads,Maricarmen Rivera Sánchez,Construccion,https://www.elnuevodia.com/negocios/construccion/notas/buscan-operador-privado-para-un-puerto-espacial-en-roosevelt-roads/
2023-02-23,Fundador de FTX enfrenta cuatro nuevos cargos por fraude a inversores en la industria de las criptomonedas,The Associated Press,Banca-Finanzas,https://www.elnuevodia.com/negocios/banca-finanzas/notas/fundador-de-ftx-enfrenta-cuatro-nuevos-cargos-por-fraude-a-inversores-en-la-industria-de-las-criptomonedas/
2023-02-22,Liberty aumentará el precio de sus paquetes residenciales,ELNUEVODIA.COM,Consumo,https://www.elnuevodia.com/negocios/consumo/notas/liberty-aumentara-el-precio-de-sus-paquetes-residenciales/
2023-02-21,Chris Agront ofrecerá talleres contributivos,Maricarmen Rivera Sánchez,Banca-Finanzas,https://www.elnuevodia.com/negocios/banca-finanzas/notas/chris-agront-ofrecera-talleres-contributivos/
2023-02-18,NAI Global planta bandera en Puerto Rico  ,Sharon Minelli Pérez,Bienes-Raices,https://www.elnuevodia.com/negocios/bienes-raices/notas/nai-global-planta-bandera-en-puerto-rico/
2023-02-18,Alternativas para proteger a los herederos,Maricarmen Rivera Sánchez,Consumo,https://www.elnuevodia.com/negocios/consumo/notas/alternativas-para-proteger-a-los-herederos/
2023-02-16,Aprueban $66 millones en fondos y créditos federales para rehabilitar 294 viviendas en Santurce,Sharon Minelli Pérez,Construccion,https://www.elnuevodia.com/negocios/construccion/notas/aprueban-66-millones-para-rehabilitar-294-viviendas-en-santurce/
2023-02-14,Así será el megahotel Hard Rock Old San Juan,No autor,Turismo,https://www.elnuevodia.com/negocios/turismo/videos/asi-sera-el-megahotel-hard-rock-old-san-juan-281141/
2023-02-10,Sun Flowers: la floristería sobre ruedas donde puedes hacer un arreglo floral con menos de $20,No autor,Empresas-Comercios,https://www.elnuevodia.com/negocios/empresas-comercios/videos/sun-flowers-la-floristeria-sobre-ruedas-donde-puedes-hacer-un-arreglo-floral-con-menos-de-20-281103/
2023-02-10,Proyecto de vivienda asequible en Cupey recibe $56 millones en fondos CDBG-DR y créditos federales,ELNUEVODIA.COM,Construccion,https://www.elnuevodia.com/negocios/construccion/notas/proyecto-de-vivienda-asequible-en-cupey-recibe-56-millones-en-fondos-cdbg-dr-y-creditos-federales/
2023-02-09,Detienen nueva ley de tragamonedas,Maricarmen Rivera Sánchez,Consumo,https://www.elnuevodia.com/negocios/consumo/notas/detienen-nueva-ley-de-tragamonedas/
2023-02-09,Retiran del mercado sobre 4.9 millones de productos Fabuloso por riesgo de exposición bacterial,Servicios combinados,Consumo,https://www.elnuevodia.com/negocios/consumo/notas/retiran-del-mercado-sobre-49-millones-de-productos-fabuloso-por-riesgo-de-exposicion-bacterial/
2023-02-08,"Aumenta el precio del plátano fresco a niveles insospechados, mientras se reduce su tamaño ",Marian Díaz,Agro,https://www.elnuevodia.com/negocios/agro/notas/aumenta-el-precio-del-platano-fresco-a-niveles-insospechados-mientras-se-reduce-su-tamano/
2023-02-07,Alerta de DACO ante fraude asociado con las plataformas de ‘streaming’,ELNUEVODIA.COM,Consumo,https://www.elnuevodia.com/negocios/consumo/notas/alerta-de-daco-ante-fraude-asociado-con-las-plataformas-de-streaming/
2023-02-07,Powerball: se llevan el premio de $747 millones,The Associated Press,Consumo,https://www.elnuevodia.com/negocios/consumo/notas/powerball-se-llevan-el-premio-de-747-millones/
2023-02-05,Grupo de emprendedoras busca revivir el centro urbano de Río Piedras,No autor,Empresas-Comercios,https://www.elnuevodia.com/negocios/empresas-comercios/videos/grupo-de-emprendedoras-busca-revivir-el-centro-urbano-de-rio-piedras-281029/
2023-02-04,El Centro Médico contará con su propia microrred,Maricarmen Rivera Sánchez,Construccion,https://www.elnuevodia.com/negocios/construccion/notas/el-centro-medico-contara-con-su-propia-microrred/
2023-02-03,"Gobierno federal invertirá $3,000 millones en proyectos militares y civiles en Puerto Rico  ",Sharon Minelli Pérez,Construccion,https://www.elnuevodia.com/negocios/construccion/notas/inversion-federal-de-3000-millones-en-proyectos-militares-y-civiles-en-puerto-rico/
2023-01-31,El DACO revisará los precios del café todos los años,Marian Díaz,Consumo,https://www.elnuevodia.com/negocios/consumo/notas/el-daco-revisara-los-precios-del-cafe-todos-los-anos/
2023-01-29,Así reciclan gomas en planta en Yabucoa,No autor,Empresas-Comercios,https://www.elnuevodia.com/negocios/empresas-comercios/videos/asi-reciclan-gomas-en-planta-en-yabucoa-280845/
2023-01-28,¿Cómo funcionan las subastas de viviendas?,Sharon Minelli Pérez,Bienes-Raices,https://www.elnuevodia.com/negocios/bienes-raices/notas/como-funcionan-las-subastas-de-viviendas/
2023-01-27,El consumidor podría pagar hasta 60 centavos adicionales por bolsa de café de 14 onzas,Marian Díaz,Consumo,https://www.elnuevodia.com/negocios/consumo/notas/el-consumidor-podria-pagar-hasta-60-centavos-adicionales-por-bolsa-de-cafe-de-14-onzas/
2023-01-26,DACO aprueba nuevos precios mínimos para el café,Marian Díaz,Agro,https://www.elnuevodia.com/negocios/agro/notas/daco-aprueba-nuevos-precios-minimos-para-el-cafe/
2023-01-24,Abultada la agenda de Vivienda para construir unidades de interés social y alquiler asequible,Sharon Minelli Pérez,Bienes-Raices,https://www.elnuevodia.com/negocios/bienes-raices/notas/abultada-la-agenda-de-vivienda-para-construir-unidades-de-interes-social-y-alquiler-asequible/
2023-01-24,Conoce el nuevo restaurante con concepto digital que abrió en el aeropuerto,No autor,Empresas-Comercios,https://www.elnuevodia.com/negocios/empresas-comercios/videos/conoce-el-nuevo-restaurante-con-concepto-digital-que-abrio-en-el-aeropuerto-280816/
2023-01-22,Enfocado el nuevo presidente de la AGCPR en sumar mano de obra para la reconstrucción,Sharon Minelli Pérez,Construccion,https://www.elnuevodia.com/negocios/construccion/notas/enfocado-el-nuevo-presidente-de-la-agcpr-en-sumar-mano-de-obra-para-la-reconstruccion/
2023-01-21,"¿Buscas apartamento de playa? Conoce opciones por menos de $250,000",Sharon Minelli Pérez,Bienes-Raices,https://www.elnuevodia.com/negocios/bienes-raices/notas/buscas-apartamento-de-playa-conoce-opciones-por-menos-de-250000/
2023-01-19,Nace el interés por el desarrollo de la industria de madera,Maricarmen Rivera Sánchez,Agro,https://www.elnuevodia.com/negocios/agro/notas/nace-el-interes-por-el-desarrollo-de-la-industria-de-madera/
2023-01-18,"El Departamento de Agricultura decomisa más de 6,500 cajas de guineos importados",Marian Díaz,Agro,https://www.elnuevodia.com/negocios/agro/notas/el-departamento-de-agricultura-decomisa-mas-de-6500-cajas-de-guineos-importados/
2023-01-16,Estos son los 4 proyectos que desarrollarán en Roosevelt Roads,No autor,Empresas-Comercios,https://www.elnuevodia.com/negocios/empresas-comercios/videos/estos-son-los-4-proyectos-que-desarrollaran-en-roosevelt-roads-280693/
2023-01-16,Paralizada la vivienda de interés social en espera del Senado,Sharon Minelli Pérez,Construccion,https://www.elnuevodia.com/negocios/construccion/notas/paralizada-la-vivienda-de-interes-social-en-espera-del-senado/
2023-01-14,Siete opciones para vivir una casa y alquilar otra por menos de $250 mil,Sharon Minelli Pérez,Bienes-Raices,https://www.elnuevodia.com/negocios/bienes-raices/notas/siete-opciones-para-vivir-una-casa-y-alquilar-otra-por-menos-de-250-mil/
2023-01-12,Española llamada Puerto Rico se “enamora” del coquí: “¡Qué cosa tan bonita!”,No autor,Turismo,https://www.elnuevodia.com/negocios/turismo/videos/espanola-llamada-puerto-rico-se-enamora-del-coqui-que-cosa-tan-bonita-280677/
2023-01-11,DACO volverá a revisar el precio del café y esta vez no descarta un aumento,Marian Díaz,Agro,https://www.elnuevodia.com/negocios/agro/notas/daco-volvera-a-revisar-el-precio-del-cafe-y-esta-vez-no-descarta-un-aumento/
